game_pk,date,away_team,away_score,home_score,home_team,win_team,lose_team,win_score,lose_score,final_score
718780,2023-03-30,Atlanta Braves,7,2,Washington Nationals,Atlanta Braves,Washington Nationals,7,2,7-2
718781,2023-03-30,San Francisco Giants,0,5,New York Yankees,New York Yankees,San Francisco Giants,5,0,5-0
718782,2023-03-30,Baltimore Orioles,10,9,Boston Red Sox,Baltimore Orioles,Boston Red Sox,10,9,10-9
718777,2023-03-30,Milwaukee Brewers,0,4,Chicago Cubs,Chicago Cubs,Milwaukee Brewers,4,0,4-0
718776,2023-03-30,Detroit Tigers,0,4,Tampa Bay Rays,Tampa Bay Rays,Detroit Tigers,4,0,4-0
718779,2023-03-30,Philadelphia Phillies,7,11,Texas Rangers,Texas Rangers,Philadelphia Phillies,11,7,11-7
718773,2023-03-30,Pittsburgh Pirates,5,4,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,5,4,5-4
718772,2023-03-30,Toronto Blue Jays,10,9,St. Louis Cardinals,Toronto Blue Jays,St. Louis Cardinals,10,9,10-9
718775,2023-03-30,Minnesota Twins,2,0,Kansas City Royals,Minnesota Twins,Kansas City Royals,2,0,2-0
718774,2023-03-30,New York Mets,5,3,Miami Marlins,New York Mets,Miami Marlins,5,3,5-3
718768,2023-03-30,Chicago White Sox,3,2,Houston Astros,Chicago White Sox,Houston Astros,3,2,3-2
718778,2023-03-30,Colorado Rockies,7,2,San Diego Padres,Colorado Rockies,San Diego Padres,7,2,7-2
718769,2023-03-30,Los Angeles Angels,1,2,Oakland Athletics,Oakland Athletics,Los Angeles Angels,2,1,2-1
718770,2023-03-30,Arizona Diamondbacks,2,8,Los Angeles Dodgers,Los Angeles Dodgers,Arizona Diamondbacks,8,2,8-2
718767,2023-03-30,Cleveland Guardians,0,3,Seattle Mariners,Seattle Mariners,Cleveland Guardians,3,0,3-0
718771,2023-03-31,New York Mets,1,2,Miami Marlins,Miami Marlins,New York Mets,2,1,2-1
718764,2023-03-31,Chicago White Sox,3,6,Houston Astros,Houston Astros,Chicago White Sox,6,3,6-3
718766,2023-03-31,Colorado Rockies,4,1,San Diego Padres,Colorado Rockies,San Diego Padres,4,1,4-1
718765,2023-03-31,Arizona Diamondbacks,2,1,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,2,1,2-1
718763,2023-03-31,Cleveland Guardians,9,4,Seattle Mariners,Cleveland Guardians,Seattle Mariners,9,4,9-4
718760,2023-04-01,Chicago White Sox,4,6,Houston Astros,Houston Astros,Chicago White Sox,6,4,6-4
718759,2023-04-01,Toronto Blue Jays,1,4,St. Louis Cardinals,St. Louis Cardinals,Toronto Blue Jays,4,1,4-1
718758,2023-04-01,Milwaukee Brewers,3,1,Chicago Cubs,Milwaukee Brewers,Chicago Cubs,3,1,3-1
718752,2023-04-01,Philadelphia Phillies,3,16,Texas Rangers,Texas Rangers,Philadelphia Phillies,16,3,16-3
718753,2023-04-01,Atlanta Braves,7,1,Washington Nationals,Atlanta Braves,Washington Nationals,7,1,7-1
718762,2023-04-01,San Francisco Giants,7,5,New York Yankees,San Francisco Giants,New York Yankees,7,5,7-5
718757,2023-04-01,Los Angeles Angels,13,1,Oakland Athletics,Los Angeles Angels,Oakland Athletics,13,1,13-1
718761,2023-04-01,Baltimore Orioles,8,9,Boston Red Sox,Boston Red Sox,Baltimore Orioles,9,8,9-8
718756,2023-04-01,Pittsburgh Pirates,2,6,Cincinnati Reds,Cincinnati Reds,Pittsburgh Pirates,6,2,6-2
718754,2023-04-01,Detroit Tigers,2,12,Tampa Bay Rays,Tampa Bay Rays,Detroit Tigers,12,2,12-2
718751,2023-04-01,Minnesota Twins,2,0,Kansas City Royals,Minnesota Twins,Kansas City Royals,2,0,2-0
718755,2023-04-01,New York Mets,6,2,Miami Marlins,New York Mets,Miami Marlins,6,2,6-2
718750,2023-04-01,Colorado Rockies,4,8,San Diego Padres,San Diego Padres,Colorado Rockies,8,4,8-4
718749,2023-04-01,Arizona Diamondbacks,1,10,Los Angeles Dodgers,Los Angeles Dodgers,Arizona Diamondbacks,10,1,10-1
718746,2023-04-01,Cleveland Guardians,2,0,Seattle Mariners,Cleveland Guardians,Seattle Mariners,2,0,2-0
718742,2023-04-02,Detroit Tigers,1,5,Tampa Bay Rays,Tampa Bay Rays,Detroit Tigers,5,1,5-1
718748,2023-04-02,Baltimore Orioles,5,9,Boston Red Sox,Boston Red Sox,Baltimore Orioles,9,5,9-5
718743,2023-04-02,Atlanta Braves,1,4,Washington Nationals,Washington Nationals,Atlanta Braves,4,1,4-1
718747,2023-04-02,San Francisco Giants,0,6,New York Yankees,New York Yankees,San Francisco Giants,6,0,6-0
718744,2023-04-02,Pittsburgh Pirates,1,3,Cincinnati Reds,Cincinnati Reds,Pittsburgh Pirates,3,1,3-1
718741,2023-04-02,New York Mets,5,1,Miami Marlins,New York Mets,Miami Marlins,5,1,5-1
718745,2023-04-02,Minnesota Twins,7,4,Kansas City Royals,Minnesota Twins,Kansas City Royals,7,4,7-4
718740,2023-04-02,Chicago White Sox,6,3,Houston Astros,Chicago White Sox,Houston Astros,6,3,6-3
718737,2023-04-02,Toronto Blue Jays,4,9,St. Louis Cardinals,St. Louis Cardinals,Toronto Blue Jays,9,4,9-4
718738,2023-04-02,Milwaukee Brewers,9,5,Chicago Cubs,Milwaukee Brewers,Chicago Cubs,9,5,9-5
718734,2023-04-02,Los Angeles Angels,6,0,Oakland Athletics,Los Angeles Angels,Oakland Athletics,6,0,6-0
718736,2023-04-02,Arizona Diamondbacks,2,1,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,2,1,2-1
718733,2023-04-02,Colorado Rockies,1,3,San Diego Padres,San Diego Padres,Colorado Rockies,3,1,3-1
718735,2023-04-02,Cleveland Guardians,6,5,Seattle Mariners,Cleveland Guardians,Seattle Mariners,6,5,6-5
718739,2023-04-02,Philadelphia Phillies,1,2,Texas Rangers,Texas Rangers,Philadelphia Phillies,2,1,2-1
718731,2023-04-03,New York Mets,0,10,Milwaukee Brewers,Milwaukee Brewers,New York Mets,10,0,10-0
718730,2023-04-03,San Francisco Giants,12,3,Chicago White Sox,San Francisco Giants,Chicago White Sox,12,3,12-3
718728,2023-04-03,Chicago Cubs,6,7,Cincinnati Reds,Cincinnati Reds,Chicago Cubs,7,6,7-6
718729,2023-04-03,Minnesota Twins,11,1,Miami Marlins,Minnesota Twins,Miami Marlins,11,1,11-1
718732,2023-04-03,Tampa Bay Rays,6,2,Washington Nationals,Tampa Bay Rays,Washington Nationals,6,2,6-2
718725,2023-04-03,Philadelphia Phillies,1,8,New York Yankees,New York Yankees,Philadelphia Phillies,8,1,8-1
718724,2023-04-03,Pittsburgh Pirates,7,6,Boston Red Sox,Pittsburgh Pirates,Boston Red Sox,7,6,7-6
718719,2023-04-03,Toronto Blue Jays,5,9,Kansas City Royals,Kansas City Royals,Toronto Blue Jays,9,5,9-5
718727,2023-04-03,Atlanta Braves,8,4,St. Louis Cardinals,Atlanta Braves,St. Louis Cardinals,8,4,8-4
718726,2023-04-03,Baltimore Orioles,2,0,Texas Rangers,Baltimore Orioles,Texas Rangers,2,0,2-0
718723,2023-04-03,Detroit Tigers,7,6,Houston Astros,Detroit Tigers,Houston Astros,7,6,7-6
718721,2023-04-03,Cleveland Guardians,12,11,Oakland Athletics,Cleveland Guardians,Oakland Athletics,12,11,12-11
718722,2023-04-03,Arizona Diamondbacks,4,5,San Diego Padres,San Diego Padres,Arizona Diamondbacks,5,4,5-4
718720,2023-04-03,Los Angeles Angels,7,3,Seattle Mariners,Los Angeles Angels,Seattle Mariners,7,3,7-3
